dataset,classe_0,classe_1,amostras,atributos,C,penalty,max_iter,media_features,desvio_padrao,test_0,test_1
iris,setosa,versicolor,100,4,0.01,l1,200,1.0,0.0,12,8
iris,setosa,versicolor,100,4,0.01,l1,200,1.0,0.0,12,8
iris,setosa,versicolor,100,4,0.01,l1,600,1.0,0.0,12,8
iris,setosa,versicolor,100,4,0.01,l1,600,1.0,0.0,12,8
iris,setosa,versicolor,100,4,0.01,l1,1000,1.0,0.0,12,8
iris,setosa,versicolor,100,4,0.01,l1,1000,1.0,0.0,12,8
iris,setosa,versicolor,100,4,0.01,l2,200,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.01,l2,200,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.01,l2,600,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.01,l2,600,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.01,l2,1000,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.01,l2,1000,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.1,l1,200,2.25,0.7664854858377946,12,8
iris,setosa,versicolor,100,4,0.1,l1,200,2.25,0.7664854858377946,12,8
iris,setosa,versicolor,100,4,0.1,l1,600,3.15,1.061838029079765,12,8
iris,setosa,versicolor,100,4,0.1,l1,600,3.15,1.061838029079765,12,8
iris,setosa,versicolor,100,4,0.1,l1,1000,2.35,0.852936105461599,12,8
iris,setosa,versicolor,100,4,0.1,l1,1000,2.35,0.852936105461599,12,8
iris,setosa,versicolor,100,4,0.1,l2,200,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.1,l2,200,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.1,l2,600,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.1,l2,600,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.1,l2,1000,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,0.1,l2,1000,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,1.0,l1,200,2.45,0.9205976319760986,12,8
iris,setosa,versicolor,100,4,1.0,l1,200,2.45,0.9205976319760986,12,8
iris,setosa,versicolor,100,4,1.0,l1,600,2.35,0.8529361054615991,12,8
iris,setosa,versicolor,100,4,1.0,l1,600,2.35,0.8529361054615991,12,8
iris,setosa,versicolor,100,4,1.0,l1,1000,1.95,0.21794494717703372,12,8
iris,setosa,versicolor,100,4,1.0,l1,1000,1.95,0.21794494717703372,12,8
iris,setosa,versicolor,100,4,1.0,l2,200,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,1.0,l2,200,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,1.0,l2,600,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,1.0,l2,600,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,1.0,l2,1000,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,1.0,l2,1000,3.95,0.21794494717703367,12,8
iris,setosa,versicolor,100,4,10.0,l1,200,2.25,0.7664854858377946,12,8
iris,setosa,versicolor,100,4,10.0,l1,200,2.25,0.7664854858377946,12,8
iris,setosa,versicolor,100,4,10.0,l1,600,2.25,0.7664854858377946,12,8
iris,setosa,versicolor,100,4,10.0,l1,600,2.25,0.7664854858377946,12,8
iris,setosa,versicolor,100,4,10.0,l1,1000,2.15,0.6538348415311012,12,8
iris,setosa,versicolor,100,4,10.0,l1,1000,2.15,0.6538348415311012,12,8
iris,setosa,versicolor,100,4,10.0,l2,200,3.9,0.3,12,8
iris,setosa,versicolor,100,4,10.0,l2,200,3.9,0.3,12,8
iris,setosa,versicolor,100,4,10.0,l2,600,3.9,0.3,12,8
iris,setosa,versicolor,100,4,10.0,l2,600,3.9,0.3,12,8
iris,setosa,versicolor,100,4,10.0,l2,1000,3.9,0.3,12,8
iris,setosa,versicolor,100,4,10.0,l2,1000,3.9,0.3,12,8
